0x0000000001982F80 => 0x0000000000B706A0   (0x42)   VM_OP_LessThanOrEqualTo_Handler
0x0000000001982F88 => 0x0000000000B763E0   (0x43)   VM_OP_GetSelf_Handler
0x0000000001982F90 => 0x0000000000B8B500   (0x44)   VM_OP_InvalidOpcode_Handler
0x0000000001982F98 => 0x0000000000B704C0   (0x45)   VM_OP_Bit_And_Handler
0x0000000001982FA0 => 0x0000000000B74EC0   (0x46)   VM_OP_ScriptMethodThreadCall_Handler
0x0000000001982FA8 => 0x0000000000B8B500   (0x47)   VM_OP_InvalidOpcode_Handler
0x0000000001982FB0 => 0x0000000000B707A0   (0x48)   VM_OP_Plus_Handler
0x0000000001982FB8 => 0x0000000000B8B500   (0x49)   VM_OP_InvalidOpcode_Handler
0x0000000001982FC0 => 0x0000000000B76550   (0x4A)   VM_OP_GetAnim_Handler
0x0000000001982FC8 => 0x0000000000B70530   (0x4B)   VM_OP_NotEqual_Handler
0x0000000001982FD0 => 0x0000000000B8B500   (0x4C)   VM_OP_InvalidOpcode_Handler
0x0000000001982FD8 => 0x0000000000B8B500   (0x4D)   VM_OP_InvalidOpcode_Handler
0x0000000001982FE0 => 0x0000000000B722E0   (0x4E)   VM_OP_GetUintptr_Handler
0x0000000001982FE8 => 0x0000000000B8B500   (0x4F)   VM_OP_InvalidOpcode_Handler
0x0000000001982FF0 => 0x0000000000B77BB0   (0x50)   VM_OP_EvalFieldVariableRef_Handler
0x0000000001982FF8 => 0x0000000000B72310   (0x51)   VM_OP_GetInteger_Handler
0x0000000001983000 => 0x0000000000B72E00   (0x52)   VM_OP_DevblockBegin_Handler
0x0000000001983008 => 0x0000000000B8B500   (0x53)   VM_OP_InvalidOpcode_Handler
0x0000000001983010 => 0x0000000000B8B500   (0x54)   VM_OP_InvalidOpcode_Handler
0x0000000001983018 => 0x0000000000B8B500   (0x55)   VM_OP_InvalidOpcode_Handler
0x0000000001983020 => 0x0000000000B8B500   (0x56)   VM_OP_InvalidOpcode_Handler
0x0000000001983028 => 0x0000000000B8B500   (0x57)   VM_OP_InvalidOpcode_Handler
0x0000000001983030 => 0x0000000000B8B500   (0x58)   VM_OP_InvalidOpcode_Handler
0x0000000001983038 => 0x0000000000B721E0   (0x59)   VM_OP_GetUndefined_Handler
0x0000000001983040 => 0x0000000000B8B500   (0x5A)   VM_OP_InvalidOpcode_Handler
0x0000000001983048 => 0x0000000000B74C70   (0x5B)   VM_OP_ScriptThreadCallClass_Handler
0x0000000001983050 => 0x0000000000B8B500   (0x5C)   VM_OP_InvalidOpcode_Handler
0x0000000001983058 => 0x0000000000B70570   (0x5D)   VM_OP_SuperEqual_Handler
0x0000000001983060 => 0x0000000000B72110   (0x5E)   VM_OP_BoolComplement_Handler
0x0000000001983068 => 0x0000000000B8B500   (0x5F)   VM_OP_InvalidOpcode_Handler
0x0000000001983070 => 0x0000000000B72220   (0x60)   VM_OP_GetByte_Handler
0x0000000001983078 => 0x0000000000B72250   (0x61)   VM_OP_GetNegByte_Handler
0x0000000001983080 => 0x0000000000B76510   (0x62)   VM_OP_GetGame_Handler
0x0000000001983088 => 0x0000000000B8B500   (0x63)   VM_OP_InvalidOpcode_Handler
0x0000000001983090 => 0x0000000000B8B500   (0x64)   VM_OP_InvalidOpcode_Handler
0x0000000001983098 => 0x0000000000B71890   (0x65)   VM_OP_Minus_Handler
0x00000000019830A0 => 0x0000000000B70440   (0x66)   VM_OP_Bit_Or_Handler
0x00000000019830A8 => 0x0000000000B70760   (0x67)   VM_OP_ShiftRight_Handler
0x00000000019830B0 => 0x0000000000B78C40   (0x68)   VM_OP_EvalLevelFieldVariable_Handler
0x00000000019830B8 => 0x0000000000B78590   (0x69)   VM_OP_New_Handler
0x00000000019830C0 => 0x0000000000B8B500   (0x6A)   VM_OP_InvalidOpcode_Handler
0x00000000019830C8 => 0x0000000000B8B500   (0x6B)   VM_OP_InvalidOpcode_Handler
0x00000000019830D0 => 0x0000000000B72A30   (0x6C)   VM_OP_JumpOnTrue_Handler
0x00000000019830D8 => 0x0000000000B8B500   (0x6D)   VM_OP_InvalidOpcode_Handler
0x00000000019830E0 => 0x0000000000B721E0   (0x6E)   VM_OP_GetUndefined_Handler
0x00000000019830E8 => 0x0000000000B72A30   (0x6F)   VM_OP_JumpOnTrue_Handler
0x00000000019830F0 => 0x0000000000B8B500   (0x70)   VM_OP_InvalidOpcode_Handler
0x00000000019830F8 => 0x0000000000B70280   (0x71)   VM_OP_Dec_Handler
0x0000000001983100 => 0x0000000000B72200   (0x72)   VM_OP_GetZero_Handler
0x0000000001983108 => 0x0000000000B8B500   (0x73)   VM_OP_InvalidOpcode_Handler
0x0000000001983110 => 0x0000000000B765F0   (0x74)   VM_OP_GetFunction_Handler
0x0000000001983118 => 0x0000000000B706E0   (0x75)   VM_OP_GreaterThanOrEqualTo_Handler
0x0000000001983120 => 0x0000000000B763C0   (0x76)   VM_OP_GetAnimObject_Handler
0x0000000001983128 => 0x0000000000B70720   (0x77)   VM_OP_ShiftLeft_Handler
0x0000000001983130 => 0x0000000000B72B60   (0x78)   VM_OP_JumpOnFalseExpr_Handler
0x0000000001983138 => 0x0000000000B76380   (0x79)   VM_OP_GetClassesObject_Handler
0x0000000001983140 => 0x0000000000B707A0   (0x7A)   VM_OP_Plus_Handler
0x0000000001983148 => 0x0000000000B8B500   (0x7B)   VM_OP_InvalidOpcode_Handler
0x0000000001983150 => 0x0000000000B72000   (0x7C)   VM_OP_BoolNot_Handler
0x0000000001983158 => 0x0000000000B70280   (0x7D)   VM_OP_Dec_Handler
0x0000000001983160 => 0x0000000000B7DE50   (0x7E)   VM_OP_WaitTill_Handler
0x0000000001983168 => 0x0000000000B707A0   (0x7F)   VM_OP_Plus_Handler
0x0000000001983170 => 0x0000000000B8B500   (0x80)   VM_OP_InvalidOpcode_Handler
0x0000000001983178 => 0x0000000000B78C40   (0x81)   VM_OP_EvalLevelFieldVariable_Handler
0x0000000001983180 => 0x0000000000B765D0   (0x82)   VM_OP_GetGameRef_Handler
0x0000000001983188 => 0x0000000000B7D190   (0x83)   VM_OP_WaitTillFrameEnd_Handler
